Cal_yrs_BP,RSL
861,-0.168407105
862,-0.167340855
863,-0.166274604
864,-0.165208353
865,-0.164142103
866,-0.163075852
867,-0.162009602
868,-0.160943351
869,-0.1598771
870,-0.15881085
871,-0.157744599
872,-0.156678349
873,-0.155612098
874,-0.154545847
875,-0.153479597
876,-0.152413346
877,-0.151347096
878,-0.150280845
879,-0.149214594
880,-0.148148344
881,-0.147082093
882,-0.146015843
883,-0.144949592
884,-0.143883341
885,-0.142817091
886,-0.14175084
887,-0.14068459
888,-0.139618339
889,-0.138552088
890,-0.137485838
891,-0.136419587
892,-0.135353337
893,-0.134287086
894,-0.133220835
895,-0.132154585
896,-0.131088334
897,-0.130022084
898,-0.128955833
899,-0.127889582
900,-0.126823332
901,-0.125757081
902,-0.124690831
903,-0.12362458
904,-0.122558329
905,-0.121492079
906,-0.120425828
907,-0.119359578
908,-0.118293327
909,-0.117227076
910,-0.116160826
911,-0.115094575
912,-0.114028325
913,-0.112962074
914,-0.111895823
915,-0.110829573
916,-0.109763322
917,-0.108697072
918,-0.107630821
919,-0.10656457
920,-0.10549832
921,-0.104432069
922,-0.103365819
923,-0.102299568
924,-0.101233317
925,-0.100167067
926,-0.099100816
927,-0.098034566
928,-0.096968315
929,-0.095902064
930,-0.094835814
931,-0.093769563
932,-0.092703313
933,-0.091637062
934,-0.090570811
935,-0.089504561
936,-0.08843831
937,-0.08737206
938,-0.086305809
939,-0.085239558
940,-0.084173308
941,-0.083107057
942,-0.082040807
943,-0.080974556
944,-0.079908305
945,-0.078842055
946,-0.077775804
947,-0.076709554
948,-0.075643303
949,-0.074577052
950,-0.073510802
951,-0.072444551
952,-0.071378301
953,-0.07031205
954,-0.069245799
955,-0.068179549
956,-0.067113298
957,-0.066047048
958,-0.064980797
959,-0.063914546
960,-0.062848296
961,-0.061782045
962,-0.060715795
963,-0.059649544
964,-0.058583293
965,-0.057517043
966,-0.056450792
967,-0.055384542
968,-0.054318291
969,-0.05325204
970,-0.05218579
971,-0.051119539
972,-0.050053289
973,-0.048987038
974,-0.047920787
975,-0.046854537
976,-0.045788286
977,-0.044722036
978,-0.043655785
979,-0.042589534
980,-0.041523284
981,-0.040457033
982,-0.039390783
983,-0.038324532
984,-0.037258281
985,-0.036192031
986,-0.03512578
987,-0.03405953
988,-0.032993279
989,-0.031927028
990,-0.030860778
991,-0.029794527
992,-0.028728277
993,-0.027662026
994,-0.026595775
995,-0.025529525
996,-0.024463274
997,-0.023397024
998,-0.022330773
999,-0.021264522
1000,-0.020198272
1001,-0.019132021
1002,-0.018065771
1003,-0.01699952
1004,-0.015933269
1005,-0.014867019
1006,-0.013800768
1007,-0.012734518
1008,-0.011668267
1009,-0.010602016
1010,-0.009535766
1011,-0.008469515
1012,-0.007403265
1013,-0.006337014
1014,-0.005270763
1015,-0.004204513
1016,-0.003138262
1017,-0.002072012
1018,-0.001005761
1019,6.05E-05
1020,0.00112674
1021,0.002192991
1022,0.003259241
1023,0.004325492
1024,0.005391743
1025,0.006457993
1026,0.007524244
1027,0.008590494
1028,0.009656745
1029,0.010722996
1030,0.011789246
1031,0.012855497
1032,0.013921747
1033,0.014987998
1034,0.016054249
1035,0.017120499
1036,0.01818675
1037,0.019253
1038,0.020319251
1039,0.021385502
1040,0.022451752
1041,0.023518003
1042,0.024584253
1043,0.025650504
1044,0.026716755
1045,0.027783005
1046,0.028849256
1047,0.029915506
1048,0.030981757
1049,0.032048008
1050,0.033114258
1051,0.034180509
1052,0.035246759
1053,0.03631301
1054,0.037379261
1055,0.038445511
1056,0.039511762
1057,0.040578012
1058,0.041644263
1059,0.042710514
1060,0.043776764
1061,0.044843015
1062,0.045909265
1063,0.046975516
1064,0.048041767
1065,0.049108017
1066,0.050174268
1067,0.051240518
1068,0.052306769
1069,0.05337302
1070,0.05443927
1071,0.055505521
1072,0.056571771
1073,0.057638022
1074,0.058704273
1075,0.059770523
1076,0.060836774
1077,0.061903024
1078,0.062969275
1079,0.064035526
1080,0.065101776
1081,0.066168027
1082,0.067234277
1083,0.068300528
1084,0.069366779
1085,0.070433029
1086,0.07149928
1087,0.07256553
1088,0.073631781
1089,0.074698032
1090,0.075764282
1091,0.076830533
1092,0.077896783
1093,0.078963034
1094,0.080029285
1095,0.081095535
1096,0.082161786
1097,0.083228036
1098,0.084294287
1099,0.085360538
1100,0.086426788
1101,0.087493039
1102,0.088559289
1103,0.08962554
1104,0.090691791
1105,0.091758041
1106,0.092824292
1107,0.093890542
1108,0.094956793
1109,0.096023044
1110,0.097089294
1111,0.098155545
1112,0.099221795
1113,0.100288046
1114,0.101354297
1115,0.102420547
1116,0.103486798
1117,0.104553048
1118,0.105619299
1119,0.10668555
1120,0.1077518
1121,0.108818051
1122,0.109884301
1123,0.110950552
1124,0.112016803
1125,0.113083053
1126,0.114149304
1127,0.115215554
1128,0.116281805
1129,0.117348056
1130,0.118414306
1131,0.119480557
1132,0.120546807
1133,0.121613058
1134,0.122679309
1135,0.123745559
1136,0.12481181
1137,0.12587806
1138,0.126944311
1139,0.128010562
1140,0.129076812
1141,0.130143063
1142,0.131209313
1143,0.132275564
1144,0.133341815
1145,0.134408065
1146,0.135474316
1147,0.136540566
1148,0.137606817
1149,0.138673068
1150,0.139739318
1151,0.140805569
1152,0.141871819
1153,0.14293807
1154,0.144004321
1155,0.145070571
1156,0.146136822
1157,0.147203072
1158,0.148269323
1159,0.149335574
1160,0.150401824
1161,0.151468075
1162,0.152534325
1163,0.153600576
1164,0.154666827
1165,0.155733077
1166,0.156799328
1167,0.157865578
1168,0.158931829
1169,0.15999808
1170,0.16106433
1171,0.162130581
1172,0.163196831
1173,0.164263082
1174,0.165329333
1175,0.166395583
1176,0.167461834
1177,0.168528084
1178,0.169594335
1179,0.170660586
1180,0.171726836
1181,0.172793087
1182,0.173859337
1183,0.174925588
1184,0.175991839
1185,0.177058089
1186,0.17812434
1187,0.17919059
1188,0.180256841
1189,0.181323092
1190,0.182389342
1191,0.183455593
1192,0.184521843
1193,0.185588094
1194,0.186654345
1195,0.187720595
1196,0.188786846
1197,0.189853096
1198,0.190919347
1199,0.191985598
1200,0.193051848
1201,0.194118099
1202,0.195184349
1203,0.1962506
1204,0.197316851
1205,0.198383101
1206,0.199449352
1207,0.200515602
1208,0.201581853
1209,0.202648104
1210,0.203714354
1211,0.204780605
1212,0.205846855
1213,0.206913106
1214,0.207979357
1215,0.209045607
1216,0.210111858
1217,0.211178108
1218,0.212244359
1219,0.21331061
1220,0.21437686
1221,0.215443111
1222,0.216509361
1223,0.217575612
1224,0.218641863
1225,0.219708113
1226,0.220774364
1227,0.221840614
1228,0.222906865
1229,0.223973116
1230,0.225039366
1231,0.226105617
1232,0.227171867
1233,0.228238118
1234,0.229304369
1235,0.230370619
1236,0.23143687
1237,0.23250312
1238,0.233569371
1239,0.234635622
1240,0.235701872
1241,0.236768123
1242,0.237834373
1243,0.238900624
1244,0.239966875
1245,0.241033125
1246,0.242099376
1247,0.243165627
1248,0.244231877
1249,0.245298128
1250,0.246364378
1251,0.247430629
1252,0.24849688
1253,0.24956313
1254,0.250629381
1255,0.251695631
1256,0.252761882
1257,0.253828133
1258,0.254894383
1259,0.255960634
1260,0.257026884
1261,0.258093135
1262,0.259159386
1263,0.260225636
1264,0.261291887
1265,0.262358137
1266,0.263424388
1267,0.264490639
1268,0.265556889
1269,0.26662314
1270,0.26768939
1271,0.268755641
1272,0.269821892
1273,0.270888142
1274,0.271954393
1275,0.273020643
1276,0.274086894
