depth	min	max	median	mean
541	6083	6710	6408	6406
542	6093	6719	6418	6416
543	6106	6729	6429	6427
544	6114	6741	6439	6437
545	6123	6753	6449	6448
546	6134	6759	6459	6458
547	6146	6767	6470	6469
548	6156	6776	6481	6480
549	6165	6788	6493	6490
550	6173	6800	6503	6501
551	6183	6811	6515	6512
552	6200	6821	6527	6522
553	6211	6831	6537	6533
554	6221	6843	6546	6544
555	6228	6855	6557	6554
556	6242	6862	6569	6565
557	6255	6874	6579	6575
558	6266	6885	6590	6586
559	6277	6896	6600	6596
560	6288	6907	6611	6607
561	6301	6915	6622	6617
562	6311	6922	6632	6628
563	6320	6931	6642	6638
564	6330	6945	6652	6649
565	6337	6957	6662	6659
566	6354	6964	6672	6670
567	6365	6972	6684	6680
568	6379	6986	6694	6691
569	6389	6998	6704	6701
570	6397	7008	6715	6712
571	6411	7017	6726	6722
572	6424	7026	6737	6733
573	6434	7035	6746	6743
574	6443	7043	6757	6753
575	6454	7058	6767	6763
576	6466	7065	6777	6774
577	6481	7071	6787	6784
578	6489	7082	6798	6795
579	6499	7093	6807	6805
580	6508	7107	6818	6815
581	6520	7114	6828	6826
582	6532	7122	6838	6836
583	6542	7132	6849	6846
584	6554	7140	6859	6857
585	6563	7153	6870	6867
586	6576	7161	6880	6878
587	6589	7171	6890	6888
588	6600	7180	6901	6899
589	6607	7193	6912	6909
590	6618	7201	6923	6920
591	6631	7209	6933	6930
592	6643	7218	6944	6941
593	6659	7227	6953	6951
594	6667	7235	6964	6962
595	6677	7244	6976	6972
596	6688	7253	6987	6983
597	6701	7261	6997	6993
598	6712	7269	7007	7004
599	6721	7279	7017	7014
600	6731	7290	7027	7024
601	6748	7299	7038	7035
602	6761	7307	7048	7045
603	6771	7315	7058	7055
604	6780	7326	7069	7066
605	6792	7336	7080	7076
606	6806	7341	7090	7087
607	6819	7351	7101	7097
608	6831	7360	7111	7108
609	6841	7373	7122	7119
610	6849	7383	7132	7129
611	6867	7389	7142	7140
612	6879	7398	7154	7150
613	6890	7406	7165	7161
614	6898	7418	7176	7171
615	6909	7428	7186	7182
616	6921	7434	7197	7192
617	6938	7443	7209	7203
618	6953	7452	7218	7214
619	6964	7461	7229	7225
620	6975	7471	7240	7235
621	6987	7479	7250	7246
622	7001	7487	7261	7257
623	7013	7495	7271	7268
624	7026	7506	7282	7278
625	7037	7517	7293	7289
626	7048	7524	7304	7300
627	7063	7531	7314	7310
628	7076	7541	7324	7320
629	7086	7551	7335	7331
630	7093	7564	7345	7341
631	7111	7570	7355	7351
632	7124	7577	7365	7362
633	7134	7585	7375	7372
634	7145	7596	7387	7382
635	7156	7604	7397	7392
636	7172	7611	7407	7403
637	7187	7617	7417	7413
638	7202	7624	7427	7424
639	7213	7632	7437	7434
640	7223	7643	7447	7445
641	7239	7650	7457	7456
642	7253	7657	7468	7466
643	7266	7665	7478	7476
644	7278	7675	7489	7487
645	7288	7685	7499	7497
646	7306	7691	7509	7508
647	7322	7699	7519	7518
648	7338	7709	7530	7529
649	7351	7718	7541	7539
650	7360	7727	7552	7550
651	7376	7734	7561	7560
652	7392	7742	7572	7571
653	7406	7750	7583	7582
654	7420	7760	7594	7592
655	7430	7771	7604	7603
656	7454	7777	7613	7613
657	7475	7784	7623	7624
658	7491	7793	7632	7634
659	7504	7802	7643	7645
660	7514	7813	7653	7655
661	7537	7818	7663	7665
662	7555	7823	7672	7676
663	7571	7829	7680	7686
664	7581	7837	7691	7696
